,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
163,"Nguyen, C 2024a",10.1109/EMBC53108.2024.10781825,<NA>,Analyzing Voltage Transients Under Different Stimulation Configurations and Rates in Rat Cortex,"Nguyen, C. K. and Sturgill, B. S. and Negi, S. and Cogan, S. F.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2024,7.0,15.0,2020,['a-SiC'],['Neural'],"['Animal', 'Benchtop']"
164,"Nguyen, C 2024b",10.1109/EMBC53108.2024.10782884,<NA>,Leakage Current Measurements of Amorphous Silicon Carbide Encapsulation for Implantable Microelectrode Arrays,"Nguyen, C. K. and Joshi-Imre, A. and Negi, S. and Cogan, S. F.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2024,7.0,15.0,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop']"
165,"Nguyen, T 2022a",10.1021/acsnano.2c03188,35816450,"Integrated, Transparent Silicon Carbide Electronics and Sensors for Radio Frequency Biomedical Therapy","Nguyen, TK and Yadav, S and Truong, TA and Han, M and Barton, M and Leitch, M and Guzman, P and Dinh, T and Ashok, A and Vu, H and Dau, V and Haasmann, D and Chen, L and Park, Y and Do, TN and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ACS nano,2022,7.0,26.0,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
166,"Nguyen, T 2022b",10.1073/pnas.2203287119,35939711,"Wide bandgap semiconductor nanomembranes as a long-term biointerface for flexible, implanted neuromodulator","Nguyen, TK and Barton, M and Ashok, A and Truong, TA and Yadav, S and Leitch, M and Nguyen, TV and Kashaninejad, N and Dinh, T and Hold, L and Yamauchi, Y and Nguyen, NT and Phan, HP",Proceedings of the National Academy of Sciences of the United States of America,2022,8.0,16.0,2020,['Other'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
173,"Panday, R 2006",10.4028/www.scientific.net/MSF.527-529.1107,<NA>,Mechanical testing of flexible silicon carbide interconnect ribbons,"Panday, R and Fu, XA and Rajgopal, S and Lisby, T and Nikles, SA and Najafi, K and Mehregany, M","SILICON CARBIDE AND RELATED MATERIALS 2005, PTS 1 AND 2",2006,10.0,1.0,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
174,"Pham, T 2020",10.1002/adfm.202004655,<NA>,A Versatile Sacrificial Layer for Transfer Printing of Wide Bandgap Materials for Implantable and Stretchable Bioelectronics,"Pham, TA and Nguyen, TK and Vadivelu, RK and Dinh, T and Qamar, A and Yadav, S and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ADVANCED FUNCTIONAL MATERIALS,2020,9.0,4.0,2020,['Other'],"['Neural', 'Biosensors', 'Cardio']","['Material Properties', 'Fabrication', 'Benchtop']"
175,"Phan, H 2019",10.1021/acsnano.9b05168,31433939,"Long-Lived, Transferred Crystalline Silicon Carbide Nanomembranes for Implantable Flexible Electronics","Phan, HP and Zhong, Y and Nguyen, TK and Park, Y and Dinh, T and Song, E and Vadivelu, RK and Masud, MK and Li J and Shiddiky, MJA and Dao, D and Yamauchi, Y and Rogers, JA and Nguyen, NT",ACS nano,2019,10.0,22.0,2010,['3C-SiC'],"['Neural', 'Biosensors', 'Cardio']","['Fabrication', 'Benchtop']"
181,"Saddow, S 2014a",10.1149/06107.0101ecst,<NA>,3C-SiC on Si: A Biocompatible Material for Advanced Bioelectronic Devices,"Saddow, SE and Frewin, CL and Reyes, M and Register, J and Nezafati, M and Thomas, S",Micromachines,2014,5.0,14.0,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
182,"Saddow, S 2014b",10.1109/NMDC.2014.6997419,<NA>,3C-SiC on Si: A bio- and hemo-compatible material for advanced nano-bio devices,"Saddow, S. E. and Frewin, C. L. and Nezafati, M. and Oliveros, A. and Afroz, S. and Register, J. and Reyes, M. and Thomas, S.",2014 IEEE 9th Nanotechnology Materials and Devices Conference (NMDC),2014,12.0,29.0,2010,"['a-SiC', '3C-SiC']","['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
195,"Usoro, J 2019",10.1088/2057-1976/ab4c02,<NA>,Chronic stability of local field potentials from standard and modified Blackrock microelectrode arrays implanted in the rat motor cortex,"Usoro, JO and Shih, E and Black, BJ and Rihani, RT and Abbott, J and Chakraborty, B and Pancrazio, JJ and Cogan, SF",BIOMEDICAL PHYSICS & ENGINEERING EXPRESS,2019,10.0,18.0,2010,['a-SiC'],['Neural'],"['Animal', 'Benchtop']"
199,"Vomero, M 2017a",10.1109/NER.2017.8008347,<NA>,Improved long-term stability of thin-film glassy carbon electrodes through the use of silicon carbide and amorphous carbon,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Fadiga, L and Ricci, D and  Kassegne, S and Stieglitz, T",2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),2017,5.0,,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
200,"Vomero, M 2017b",10.1002/adbi.201700081,<NA>,Incorporation of Silicon Carbide and Diamond-Like Carbon as Adhesion Promoters Improves In Vitro and In Vivo Stability of Thin-Film Glassy Carbon Electrocorticography Arrays,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Ciarpella, F and Cea, C and Fadiga, L and Ricci, D and Kassegne, S and Stieglitz, T",ADVANCED BIOSYSTEMS,2017,11.0,,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
206,"Wu, K 2024",10.1002/adma.202310201,38320746,Optical Monitoring of Water Side Permeation in Thin Film Encapsulation,"Wu, K. and Mariello, M. and Leterrier, Y. and Lacour, SP",Advanced materials,2024,6.0,,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
